Stress Voltage, Cycles to Breakdown
2.140000000000000124e+00,-7.000000000000000000e+00
2.419999999999999929e+00,-5.698970004336018746e+00
2.490000000000000213e+00,-5.477121254719662602e+00
2.660000000000000142e+00,-4.477121254719662602e+00
2.792199999999999793e+00,-3.698970004336018746e+00
2.799999999999999822e+00,-3.845098040014256924e+00
2.899999999999999911e+00,-3.000000000000000000e+00
2.957199999999999829e+00,-2.477121254719662602e+00
2.959999999999999964e+00,-2.000000000000000000e+00
